Target distance: 78, Step size: 1
1: (x,y) = (-0.486726, 0.873555)
2: (x,y) = (-1.06089, 1.6923)
3: (x,y) = (-1.80805, 1.02766)
4: (x,y) = (-1.96295, 0.0397304)
5: (x,y) = (-0.964437, -0.0147041)
6: (x,y) = (-1.96176, -0.0878045)
7: (x,y) = (-2.73135, -0.726342)
8: (x,y) = (-3.44123, -1.43067)
9: (x,y) = (-2.48881, -1.12588)
10: (x,y) = (-1.53047, -0.840246)
11: (x,y) = (-0.562872, -0.587755)
12: (x,y) = (0.00305123, -1.41221)
13: (x,y) = (-0.929811, -1.77244)
14: (x,y) = (-1.91429, -1.94794)
15: (x,y) = (-0.93162, -1.76259)
16: (x,y) = (-0.0690946, -1.25657)
17: (x,y) = (-0.966302, -0.814962)
18: (x,y) = (-1.49986, 0.0308021)
19: (x,y) = (-1.36049, -0.959439)
20: (x,y) = (-2.36004, -0.92937)
21: (x,y) = (-3.24152, -0.457154)
22: (x,y) = (-4.123, 0.0150633)
23: (x,y) = (-4.97748, 0.534563)
24: (x,y) = (-4.36302, 1.32351)
25: (x,y) = (-3.61298, 1.9849)
26: (x,y) = (-4.6041, 2.11782)
27: (x,y) = (-3.77355, 1.56087)
28: (x,y) = (-4.08993, 2.50951)
29: (x,y) = (-4.47605, 1.58706)
30: (x,y) = (-3.86609, 0.794628)
31: (x,y) = (-3.81516, -0.204074)
32: (x,y) = (-4.3775, 0.622832)
33: (x,y) = (-4.28658, 1.61869)
34: (x,y) = (-4.5893, 0.665611)
35: (x,y) = (-3.77509, 1.24618)
36: (x,y) = (-4.76199, 1.08485)
37: (x,y) = (-4.73978, 2.0846)
38: (x,y) = (-4.96226, 1.10967)
39: (x,y) = (-4.37531, 1.91929)
40: (x,y) = (-5.2895, 1.514)
41: (x,y) = (-4.43729, 2.03721)
42: (x,y) = (-5.43521, 2.10165)
43: (x,y) = (-6.36601, 2.46718)
44: (x,y) = (-5.48249, 1.99879)
45: (x,y) = (-4.52415, 2.28442)
46: (x,y) = (-4.40466, 1.29159)
47: (x,y) = (-4.9088, 2.15521)
48: (x,y) = (-5.89477, 2.32215)
49: (x,y) = (-5.26904, 3.10219)
50: (x,y) = (-4.48411, 3.72177)
51: (x,y) = (-3.48421, 3.73613)
52: (x,y) = (-2.97633, 2.87471)
53: (x,y) = (-2.48087, 2.00608)
54: (x,y) = (-2.70335, 1.03114)
55: (x,y) = (-3.05218, 1.96832)
56: (x,y) = (-2.10606, 1.64451)
57: (x,y) = (-1.96107, 2.63394)
58: (x,y) = (-1.90447, 3.63233)
59: (x,y) = (-1.93102, 4.63198)
60: (x,y) = (-0.996603, 4.2758)
61: (x,y) = (-1.80495, 4.86451)
62: (x,y) = (-2.33851, 5.71027)
63: (x,y) = (-2.56944, 6.68324)
64: (x,y) = (-1.73889, 6.1263)
65: (x,y) = (-2.30123, 6.9532)
66: (x,y) = (-2.66878, 6.0232)
67: (x,y) = (-3.63746, 6.27149)
68: (x,y) = (-4.47666, 5.72766)
69: (x,y) = (-5.38853, 6.13814)
70: (x,y) = (-4.54698, 5.59795)
71: (x,y) = (-5.5105, 5.86561)
72: (x,y) = (-5.25591, 4.89856)
73: (x,y) = (-6.15311, 5.34017)
74: (x,y) = (-5.26038, 4.88959)
75: (x,y) = (-5.31264, 3.89096)
76: (x,y) = (-6.30377, 4.02388)
77: (x,y) = (-6.47285, 3.03827)
78: (x,y) = (-7.17871, 3.74662)
79: (x,y) = (-7.36193, 4.72969)
80: (x,y) = (-6.84916, 5.58822)
81: (x,y) = (-6.62799, 4.61298)
82: (x,y) = (-6.82531, 5.59332)
83: (x,y) = (-5.84008, 5.76454)
84: (x,y) = (-6.44659, 4.96947)
85: (x,y) = (-5.46392, 5.15482)
86: (x,y) = (-5.96806, 6.01844)
87: (x,y) = (-6.79936, 5.46261)
88: (x,y) = (-7.73926, 5.12115)
89: (x,y) = (-7.1453, 4.31666)
90: (x,y) = (-6.69279, 5.20841)
91: (x,y) = (-7.67969, 5.04708)
92: (x,y) = (-7.8629, 6.03015)
93: (x,y) = (-7.60831, 5.0631)
94: (x,y) = (-6.84516, 5.70932)
95: (x,y) = (-6.61846, 6.68329)
96: (x,y) = (-6.10568, 7.54181)
97: (x,y) = (-5.78519, 6.59456)
98: (x,y) = (-4.84575, 6.25184)
99: (x,y) = (-4.80918, 5.25251)
100: (x,y) = (-5.78704, 5.04325)
101: (x,y) = (-5.05041, 4.36696)
102: (x,y) = (-6.04773, 4.29385)
103: (x,y) = (-6.67684, 5.07117)
104: (x,y) = (-7.03909, 6.00325)
105: (x,y) = (-8.01575, 6.21807)
106: (x,y) = (-8.91295, 6.65968)
107: (x,y) = (-8.16291, 7.32107)
108: (x,y) = (-9.15981, 7.39983)
109: (x,y) = (-8.80691, 6.46417)
110: (x,y) = (-9.61526, 7.05288)
111: (x,y) = (-10.1657, 6.21798)
112: (x,y) = (-10.8895, 5.52802)
113: (x,y) = (-9.89711, 5.40505)
114: (x,y) = (-10.2964, 4.48824)
115: (x,y) = (-10.58, 5.4472)
116: (x,y) = (-10.9422, 6.37928)
117: (x,y) = (-11.3858, 7.27552)
118: (x,y) = (-11.0089, 8.2018)
119: (x,y) = (-10.2275, 7.57777)
120: (x,y) = (-9.9344, 8.53383)
121: (x,y) = (-10.4261, 7.66306)
122: (x,y) = (-10.629, 6.68386)
123: (x,y) = (-10.6124, 5.68399)
124: (x,y) = (-11.6093, 5.76276)
125: (x,y) = (-11.1014, 4.90134)
126: (x,y) = (-10.1239, 4.69076)
127: (x,y) = (-10.7027, 3.8753)
128: (x,y) = (-11.2117, 3.01455)
129: (x,y) = (-11.1351, 4.01162)
130: (x,y) = (-11.4049, 3.04868)
131: (x,y) = (-11.294, 4.04252)
132: (x,y) = (-10.6955, 4.84363)
133: (x,y) = (-10.6733, 5.84338)
134: (x,y) = (-9.90453, 5.20381)
135: (x,y) = (-9.86795, 4.20448)
136: (x,y) = (-8.87032, 4.27325)
137: (x,y) = (-9.61749, 3.60861)
138: (x,y) = (-8.90456, 2.90738)
139: (x,y) = (-9.90451, 2.9174)
140: (x,y) = (-10.8582, 3.21805)
141: (x,y) = (-11.749, 2.7636)
142: (x,y) = (-11.1903, 3.59294)
143: (x,y) = (-11.9986, 4.18165)
144: (x,y) = (-12.9385, 3.84019)
145: (x,y) = (-12.3241, 4.62914)
146: (x,y) = (-11.3465, 4.41856)
147: (x,y) = (-11.0206, 5.36398)
148: (x,y) = (-12.0002, 5.56474)
149: (x,y) = (-12.9971, 5.64351)
150: (x,y) = (-12.1525, 6.1789)
151: (x,y) = (-11.1709, 5.98797)
152: (x,y) = (-10.6122, 6.8173)
153: (x,y) = (-10.2273, 5.89434)
154: (x,y) = (-10.2251, 4.89434)
155: (x,y) = (-10.8475, 4.11159)
156: (x,y) = (-9.85988, 3.95454)
157: (x,y) = (-8.89754, 4.22638)
158: (x,y) = (-9.34109, 5.12263)
159: (x,y) = (-9.83278, 4.25185)
160: (x,y) = (-10.0301, 5.23219)
161: (x,y) = (-10.5042, 6.11265)
162: (x,y) = (-10.192, 7.06265)
163: (x,y) = (-10.327, 6.07181)
164: (x,y) = (-11.2178, 5.61736)
165: (x,y) = (-12.0825, 6.11962)
166: (x,y) = (-13.0776, 6.21836)
167: (x,y) = (-13.935, 5.70373)
168: (x,y) = (-13.0191, 6.10504)
169: (x,y) = (-13.7851, 6.74795)
170: (x,y) = (-14.5284, 7.41682)
171: (x,y) = (-15.5226, 7.30945)
172: (x,y) = (-15.6036, 8.30617)
173: (x,y) = (-15.0496, 7.47367)
174: (x,y) = (-14.8706, 8.45753)
175: (x,y) = (-14.4232, 7.56321)
176: (x,y) = (-14.6541, 8.53618)
177: (x,y) = (-14.4414, 9.5133)
178: (x,y) = (-14.8669, 10.4183)
179: (x,y) = (-13.9972, 10.9118)
180: (x,y) = (-14.2862, 9.9545)
181: (x,y) = (-15.2116, 10.3334)
182: (x,y) = (-14.2637, 10.6518)
